Name,Ticker,Date,Actual,Estimate
Helmerich & Payne Inc,HP,2019-04-24,0.56,0.381
Hewlett Packard Enterprise Co,HPE,2019-02-21,0.42,0.348
HP Inc,HPQ,2019-02-27,0.52,0.517
H&R Block Inc,HRB,2019-03-07,-0.58,-0.552
Hormel Foods Corp,HRL,2019-02-21,0.44,0.443
Henry Schein Inc,HSIC,2019-05-07,0.8,0.759
Host Hotels & Resorts Inc,HST,2019-05-01,0.48,0.444
Hershey Co/The,HSY,2019-04-25,1.59,1.467
Humana Inc,HUM,2019-05-01,4.48,4.29
International Business Machine,IBM,2019-04-16,2.25,2.217
Intercontinental Exchange Inc,ICE,2019-05-02,0.92,0.897
IDEXX Laboratories Inc,IDXX,2019-05-01,1.17,1.052
IDEX Corp,IEX,2019-04-25,1.44,1.369
International Flavors & Fragra,IFF,2019-05-06,1.57,1.502
Illumina Inc,ILMN,2019-04-25,1.6,1.338
Incyte Corp,INCY,2019-04-30,0.62,0.391
IHS Markit Ltd,INFO,2019-03-26,0.6,0.566
Intel Corp,INTC,2019-04-25,0.89,0.87
Intuit Inc,INTU,2019-02-21,0.72,0.864
International Paper Co,IP,2019-04-25,1.11,0.906
Interpublic Group of Cos Inc/T,IPG,2019-04-26,0.11,0.048
IPG Photonics Corp,IPGP,2019-04-30,1.02,1.099
IQVIA Holdings Inc,IQV,2019-05-01,1.53,1.506
Ingersoll-Rand PLC,IR,2019-04-30,0.89,0.797
Iron Mountain Inc,IRM,2019-04-25,0.48,0.512
Intuitive Surgical Inc,ISRG,2019-04-18,2.61,2.699
Gartner Inc,IT,2019-05-07,0.58,0.527
Illinois Tool Works Inc,ITW,2019-04-25,1.81,1.805
Invesco Ltd,IVZ,2019-04-25,0.56,0.527
JB Hunt Transport Services Inc,JBHT,2019-04-15,1.09,1.248
Johnson Controls International,JCI,2019-05-01,0.32,0.303
Jacobs Engineering Group Inc,JEC,2019-05-07,1.19,1.095
Jack Henry & Associates Inc,JKHY,2019-04-30,0.72,0.764
Johnson & Johnson,JNJ,2019-04-16,2.1,2.035
Juniper Networks Inc,JNPR,2019-04-25,0.26,0.212
JPMorgan Chase & Co,JPM,2019-04-12,2.59,2.353
Nordstrom Inc,JWN,2019-02-28,1.48,1.417
Kellogg Co,K,2019-05-02,1.01,0.948
KeyCorp,KEY,2019-04-18,0.4,0.414
Keysight Technologies Inc,KEYS,2019-02-21,0.93,0.804
Kraft Heinz Co/The,KHC,2019-02-21,0.84,0.939
Kimco Realty Corp,KIM,2019-05-02,0.38,0.357
KLA Corp,KLAC,2019-05-06,1.8,1.656
Kimberly-Clark Corp,KMB,2019-04-22,1.66,1.539
Kinder Morgan Inc/DE,KMI,2019-04-17,0.25,0.243
CarMax Inc,KMX,2019-03-29,1.13,1.026
Coca-Cola Co/The,KO,2019-04-23,0.48,0.463
Kroger Co/The,KR,2019-03-07,0.48,0.526
Kohl's Corp,KSS,2019-03-05,2.24,2.181
Kansas City Southern,KSU,2019-04-17,1.54,1.436
Loews Corp,L,2019-04-29,1.2,0.96
L Brands Inc,LB,2019-02-27,2.14,2.081
Leidos Holdings Inc,LDOS,2019-04-30,1.13,1
Leggett & Platt Inc,LEG,2019-04-29,0.49,0.522
Lennar Corp,LEN,2019-03-27,0.74,0.754
Laboratory Corp of America Hol,LH,2019-04-30,2.62,2.534
L3Harris Technologies Inc,LHX,2019-05-01,2.58,2.372
LKQ Corp,LKQ,2019-04-25,0.56,0.561
Eli Lilly & Co,LLY,2019-04-30,1.33,1.301
Lockheed Martin Corp,LMT,2019-04-23,5.99,4.343
Lincoln National Corp,LNC,2019-05-01,2.14,2.034
Alliant Energy Corp,LNT,2019-05-02,0.53,0.514
Lowe's Cos Inc,LOW,2019-02-27,0.8,0.789
Lam Research Corp,LRCX,2019-04-24,3.7,3.38
Southwest Airlines Co,LUV,2019-04-25,0.7,0.608
Las Vegas Sands Corp,LVS,2019-04-17,0.91,0.866
Lamb Weston Holdings Inc,LW,2019-04-02,0.95,0.823
LyondellBasell Industries NV,LYB,2019-04-26,2.22,2.17
Macy's Inc,M,2019-02-26,2.73,2.53
Mastercard Inc,MA,2019-04-30,1.78,1.656
Mid-America Apartment Communit,MAA,2019-05-01,1.58,1.509
Macerich Co/The,MAC,2019-05-02,0.8,0.798
Marriott International Inc/MD,MAR,2019-02-28,1.44,1.4
Masco Corp,MAS,2019-04-25,0.44,0.473
McDonald's Corp,MCD,2019-04-30,1.78,1.754
Microchip Technology Inc,MCHP,2019-05-07,1.48,1.397
McKesson Corp,MCK,2019-05-08,3.69,3.66
Moody's Corp,MCO,2019-04-24,2.07,1.934
