Name,Ticker,Date,Actual,Estimate
BlackRock Inc,BLK,2019-04-16,6.61,6.13
Ball Corp,BLL,2019-05-02,0.49,0.511
Bristol-Myers Squibb Co,BMY,2019-04-25,1.1,1.089
Broadridge Financial Solutions,BR,2019-05-07,1.59,1.49
Boston Scientific Corp,BSX,2019-04-24,0.35,0.356
BorgWarner Inc,BWA,2019-04-25,1,0.944
Boston Properties Inc,BXP,2019-04-30,1.72,1.658
Citigroup Inc,C,2019-04-15,1.87,1.798
Conagra Brands Inc,CAG,2019-03-21,0.51,0.488
Cardinal Health Inc,CAH,2019-05-09,1.59,1.426
Caterpillar Inc,CAT,2019-04-24,2.94,2.846
Chubb Ltd,CB,2019-04-30,2.54,2.561
Cboe Global Markets Inc,CBOE,2019-05-03,1.11,0.991
CBRE Group Inc,CBRE,2019-05-08,0.79,0.613
CBS Corp,CBS,2019-05-02,1.37,1.367
Crown Castle International Cor,CCI,2019-04-17,1.36,1.374
Carnival Corp,CCL,2019-03-26,0.49,0.438
Cadence Design Systems Inc,CDNS,2019-04-22,0.54,0.491
CDW Corp/DE,CDW,2019-05-01,1.24,1.11
Celanese Corp,CE,2019-04-22,2.62,2.395
Cerner Corp,CERN,2019-04-25,0.61,0.615
CF Industries Holdings Inc,CF,2019-05-01,0.27,0.352
Citizens Financial Group Inc,CFG,2019-04-18,0.93,0.892
Church & Dwight Co Inc,CHD,2019-05-02,0.7,0.661
CH Robinson Worldwide Inc,CHRW,2019-04-30,1.16,1.144
Charter Communications Inc,CHTR,2019-04-30,0.98,1.371
Cigna Corp,CI,2019-05-02,3.9,3.744
Cincinnati Financial Corp,CINF,2019-04-24,1.05,0.877
Colgate-Palmolive Co,CL,2019-04-26,0.67,0.663
Clorox Co/The,CLX,2019-05-01,1.44,1.45
Comerica Inc,CMA,2019-04-16,2.08,1.931
Comcast Corp,CMCSA,2019-04-25,0.76,0.681
CME Group Inc,CME,2019-05-01,1.62,1.597
Chipotle Mexican Grill Inc,CMG,2019-04-24,3.4,3.013
Cummins Inc,CMI,2019-04-30,4.2,3.555
CMS Energy Corp,CMS,2019-04-25,0.75,0.772
Centene Corp,CNC,2019-04-23,1.39,1.34
CenterPoint Energy Inc,CNP,2019-02-28,0.36,0.343
Capital One Financial Corp,COF,2019-04-25,2.9,2.706
Cabot Oil & Gas Corp,COG,2019-04-26,0.73,0.651
Cooper Cos Inc/The,COO,2019-03-05,2.88,2.507
ConocoPhillips,COP,2019-04-30,1,0.907
Costco Wholesale Corp,COST,2019-03-07,2.01,1.692
